site,block,plot,quad,treatment,year,date,mean_trt,var_trt,kartez,genus,sp.epithet,family,LifeHistory,PhotoPath,FunctionalGroup,cover,volume,biomass.BM,biomass.BIM,SiteCluster,MetStation,season.precip,GDD,SPEI.comp
meanvar_black,1,1,2,AA,2019,2019-05-10,NA,NA,CRCR3,Cryptantha,crassisepala,Boraginaceae,annual,C3,forb,0.15,0.65,0.6171,0.6171,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,1,2,AA,2019,2019-05-10,NA,NA,SPORO,Sporobolus,NA,Poaceae,perennial,C4,grass,0.75,0,1.84575,1.84575,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,1,2,AA,2019,2019-05-10,NA,NA,MAPIP,Machaeranthera,pinnatifida,Asteraceae,perennial,C3,forb,2.71,22.42,5.42813,5.42813,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,1,1,AA,2019,2019-05-10,NA,NA,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,16.35,0,33.6156,33.6156,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,1,2,AA,2019,2019-09-17,NA,NA,SPORO,Sporobolus,NA,Poaceae,perennial,C4,grass,1,25,2.461,2.461,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,1,1,AA,2019,2019-05-10,NA,NA,ASFE2,Astragalus,missouriensis,Fabaceae,perennial,C3,forb,0.15,0.4,0.30525,0.30525,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,1,1,AA,2019,2019-05-10,NA,NA,SATR12,Salsola,tragus,Chenopodiaceae,annual,C4,forb,0.2,0.8,0.8066,0.8066,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,1,1,AA,2019,2019-05-10,NA,NA,CRCR3,Cryptantha,crassisepala,Boraginaceae,annual,C3,forb,1.9,12.55,7.8166,7.8166,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,1,1,AA,2019,2019-05-10,NA,NA,DEPI,Descurainia,pinnata,Brassicaceae,perennial,C3,forb,0.1,2.5,0.18755,0.18755,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,1,2,AA,2019,2019-05-10,NA,NA,SATR12,Salsola,tragus,Chenopodiaceae,annual,C4,forb,0.78,5.06,3.14574,3.14574,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,1,2,AA,2019,2019-05-10,NA,NA,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,11,0,22.616,22.616,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,1,2,AA,2019,2019-09-17,NA,NA,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,14.8,0,40.9368,40.9368,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,2,2,AE,2019,2019-09-17,NA,NA,ERAB2,Eriogonum,abertianum,Polygonaceae,annual,C3,forb,0.05,0.2,0.022775,0.022775,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,2,1,AE,2019,2019-05-10,NA,NA,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,6,0,12.336,12.336,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,2,1,AE,2019,2019-05-10,NA,NA,SATR12,Salsola,tragus,Chenopodiaceae,annual,C4,forb,0.2,0.6,0.8066,0.8066,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,2,2,AE,2019,2019-05-10,NA,NA,PLPA2,Plantago,patagonica,Plantaginaceae,annual,C3,forb,0.25,1.35,0.1809,0.1809,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,2,1,AE,2019,2019-05-10,NA,NA,LEFE,Lesquerella,fendleri,Brassicaceae,perennial,C3,forb,0.15,0.4,0.47475,0.47475,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,2,2,AE,2019,2019-05-10,NA,NA,CHER2,Chaetopappa,ericoides,Asteraceae,perennial,C3,forb,8.15,70.55,21.1085,21.1085,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,2,1,AE,2019,2019-09-17,NA,NA,CHER2,Chaetopappa,ericoides,Asteraceae,perennial,C3,forb,13.85,103.9,23.1697,23.1697,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,2,2,AE,2019,2019-05-10,NA,NA,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,11.25,0,23.13,23.13,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,2,2,AE,2019,2019-09-17,NA,NA,SATR12,Salsola,tragus,Chenopodiaceae,annual,C4,forb,0.1,1,0.4033,0.4033,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,2,2,AE,2019,2019-09-17,NA,NA,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,9.5,0,26.277,26.277,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,2,1,AE,2019,2019-05-10,NA,NA,CHLA10,Chamaesyce,lata,Euphorbiaceae,perennial,C4,forb,2.45,2.45,3.61865,3.61865,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,2,1,AE,2019,2019-09-17,NA,NA,CHLA10,Chamaesyce,lata,Euphorbiaceae,perennial,C4,forb,0.1,0.5,0.1612,0.1612,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,2,1,AE,2019,2019-05-10,NA,NA,CHER2,Chaetopappa,ericoides,Asteraceae,perennial,C3,forb,14.55,152.95,37.6845,37.6845,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,2,2,AE,2019,2019-09-17,NA,NA,CHER2,Chaetopappa,ericoides,Asteraceae,perennial,C3,forb,7.9,64.7,14.4281,14.4281,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,2,1,AE,2019,2019-09-17,NA,NA,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,7,0,19.362,19.362,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,2,1,AE,2019,2019-09-17,NA,NA,SATR12,Salsola,tragus,Chenopodiaceae,annual,C4,forb,0.15,0.75,0.60495,0.60495,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,3,1,AE,2019,2019-05-10,NA,NA,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,4,0,8.224,8.224,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,3,1,AE,2019,2019-05-10,NA,NA,SATR12,Salsola,tragus,Chenopodiaceae,annual,C4,forb,0.05,0.15,0.20165,0.20165,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,3,1,AE,2019,2019-09-17,NA,NA,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,12,0,33.192,33.192,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,3,1,AE,2019,2019-05-10,NA,NA,GUSA2,Gutierrezia,sarothrae,Asteraceae,perennial,C3,shrub,7.5,172.5,56.685,56.685,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,3,1,AE,2019,2019-09-17,NA,NA,SATR12,Salsola,tragus,Chenopodiaceae,annual,C4,forb,0.05,0.3,0.20165,0.20165,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,3,1,AE,2019,2019-09-17,NA,NA,CHLA10,Chamaesyce,lata,Euphorbiaceae,perennial,C4,forb,0.7,0,1.1284,1.1284,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,3,1,AE,2019,2019-05-10,NA,NA,CHLA10,Chamaesyce,lata,Euphorbiaceae,perennial,C4,forb,5.2,17.15,7.6804,7.6804,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,3,2,AE,2019,2019-05-10,NA,NA,CHER2,Chaetopappa,ericoides,Asteraceae,perennial,C3,forb,22.75,246.25,58.9225,58.9225,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,3,1,AE,2019,2019-09-17,NA,NA,CHER2,Chaetopappa,ericoides,Asteraceae,perennial,C3,forb,0.75,6.5,1.4495,1.4495,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,3,1,AE,2019,2019-09-17,NA,NA,LEFE,Lesquerella,fendleri,Brassicaceae,perennial,C3,forb,1,10,4.201,4.201,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,3,2,AE,2019,2019-05-10,NA,NA,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,2.6,0,5.3456,5.3456,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,3,2,AE,2019,2019-09-17,NA,NA,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,9,0,24.894,24.894,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,3,2,AE,2019,2019-09-17,NA,NA,CHER2,Chaetopappa,ericoides,Asteraceae,perennial,C3,forb,22.85,250.7,55.9061,55.9061,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,3,2,AE,2019,2019-09-17,NA,NA,SPORO,Sporobolus,NA,Poaceae,perennial,C4,grass,0.5,14.5,1.2305,1.2305,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,3,2,AE,2019,2019-05-10,NA,NA,SPORO,Sporobolus,NA,Poaceae,perennial,C4,grass,0.25,0,0.61525,0.61525,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,3,1,AE,2019,2019-05-10,NA,NA,CHER2,Chaetopappa,ericoides,Asteraceae,perennial,C3,forb,0.75,4.5,1.9425,1.9425,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,3,1,AE,2019,2019-09-17,NA,NA,GUSA2,Gutierrezia,sarothrae,Asteraceae,perennial,C3,shrub,10,300,72.3,72.3,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,3,1,AE,2019,2019-05-10,NA,NA,LEFE,Lesquerella,fendleri,Brassicaceae,perennial,C3,forb,5,60,15.825,15.825,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,4,1,RA,2019,2019-05-10,NA,NA,DEPI,Descurainia,pinnata,Brassicaceae,perennial,C3,forb,0.25,8.75,0.468875,0.468875,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,4,1,RA,2019,2019-05-10,NA,NA,MAPIP,Machaeranthera,pinnatifida,Asteraceae,perennial,C3,forb,1.3,13.95,2.6039,2.6039,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,4,1,RA,2019,2019-09-17,NA,NA,SPPO6,Sphaeralcea,polychroma,Malvaceae,perennial,C3,forb,0.1,0.9,0.1649,0.1649,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,4,1,RA,2019,2019-05-10,NA,NA,CHLA10,Chamaesyce,lata,Euphorbiaceae,perennial,C4,forb,2.32,9.77,3.42664,3.42664,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,4,2,RA,2019,2019-05-10,NA,NA,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,8.5,0,17.476,17.476,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,4,2,RA,2019,2019-09-17,NA,NA,CHLA10,Chamaesyce,lata,Euphorbiaceae,perennial,C4,forb,2.85,0,4.5942,4.5942,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,4,1,RA,2019,2019-09-17,NA,NA,CHLA10,Chamaesyce,lata,Euphorbiaceae,perennial,C4,forb,0.25,2,0.403,0.403,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,4,1,RA,2019,2019-05-10,NA,NA,SPORO,Sporobolus,NA,Poaceae,perennial,C4,grass,0.5,0,1.2305,1.2305,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,4,1,RA,2019,2019-09-17,NA,NA,SPORO,Sporobolus,NA,Poaceae,perennial,C4,grass,0.5,8,1.2305,1.2305,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,4,1,RA,2019,2019-05-10,NA,NA,GUSA2,Gutierrezia,sarothrae,Asteraceae,perennial,C3,shrub,1,9,7.558,7.558,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,4,1,RA,2019,2019-05-10,NA,NA,SPPO6,Sphaeralcea,polychroma,Malvaceae,perennial,C3,forb,0.25,2.5,0.59825,0.59825,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,4,2,RA,2019,2019-09-17,NA,NA,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,9.5,0,26.277,26.277,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,4,2,RA,2019,2019-05-10,NA,NA,CHLA10,Chamaesyce,lata,Euphorbiaceae,perennial,C4,forb,3.2,15.2,4.7264,4.7264,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,4,2,RA,2019,2019-05-10,NA,NA,CRCR3,Cryptantha,crassisepala,Boraginaceae,annual,C3,forb,0.27,2.35,1.11078,1.11078,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,4,1,RA,2019,2019-05-10,NA,NA,CHER2,Chaetopappa,ericoides,Asteraceae,perennial,C3,forb,0.55,4.7,1.4245,1.4245,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,4,1,RA,2019,2019-09-17,NA,NA,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,17.25,0,47.7135,47.7135,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,4,2,RA,2019,2019-05-10,NA,NA,LEFE,Lesquerella,fendleri,Brassicaceae,perennial,C3,forb,0.12,0.65,0.3798,0.3798,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,4,1,RA,2019,2019-05-10,NA,NA,OECA10,Oenothera,caespitosa,Onagraceae,perennial,C3,forb,0.01,0.08,0.018755,0.018755,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,4,1,RA,2019,2019-05-10,NA,NA,SATR12,Salsola,tragus,Chenopodiaceae,annual,C4,forb,0.55,4,2.21815,2.21815,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,4,1,RA,2019,2019-05-10,NA,NA,PLPA2,Plantago,patagonica,Plantaginaceae,annual,C3,forb,3.1,15.14,2.02876,2.02876,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,4,1,RA,2019,2019-05-10,NA,NA,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,16.5,0,33.924,33.924,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,4,2,RA,2019,2019-05-10,NA,NA,SPPO6,Sphaeralcea,polychroma,Malvaceae,perennial,C3,forb,0.75,7.5,1.79475,1.79475,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,4,2,RA,2019,2019-09-17,NA,NA,LEFE,Lesquerella,fendleri,Brassicaceae,perennial,C3,forb,0.1,0.7,0.4201,0.4201,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,4,1,RA,2019,2019-09-17,NA,NA,MAPIP,Machaeranthera,pinnatifida,Asteraceae,perennial,C3,forb,0.5,0,1.391,1.391,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,4,1,RA,2019,2019-09-17,NA,NA,GUSA2,Gutierrezia,sarothrae,Asteraceae,perennial,C3,shrub,1.25,19.75,4.75975,4.75975,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,4,1,RA,2019,2019-09-17,NA,NA,SATR12,Salsola,tragus,Chenopodiaceae,annual,C4,forb,0.75,12,3.02475,3.02475,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,4,1,RA,2019,2019-09-17,NA,NA,CHER2,Chaetopappa,ericoides,Asteraceae,perennial,C3,forb,0.85,8.2,1.8286,1.8286,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,4,2,RA,2019,2019-05-10,NA,NA,PLPA2,Plantago,patagonica,Plantaginaceae,annual,C3,forb,0.58,3.38,0.45292,0.45292,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,5,1,RE,2019,2019-05-10,NA,NA,SATR12,Salsola,tragus,Chenopodiaceae,annual,C4,forb,0.37,1.91,1.49221,1.49221,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,5,2,RE,2019,2019-09-17,NA,NA,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,11.25,0,31.1175,31.1175,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,5,2,RE,2019,2019-05-10,NA,NA,CHER2,Chaetopappa,ericoides,Asteraceae,perennial,C3,forb,13.03,138.84,33.7477,33.7477,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,5,1,RE,2019,2019-09-17,NA,NA,LEFE,Lesquerella,fendleri,Brassicaceae,perennial,C3,forb,1.5,19.5,6.3015,6.3015,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,5,2,RE,2019,2019-05-10,NA,NA,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,7.2,0,14.8032,14.8032,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,5,1,RE,2019,2019-09-17,NA,NA,CHER2,Chaetopappa,ericoides,Asteraceae,perennial,C3,forb,4.25,34.25,7.63775,7.63775,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,5,1,RE,2019,2019-05-10,NA,NA,HODR,Hoffmannseggia,drepanocarpa,Fabaceae,perennial,C3,forb,0.05,0.15,0.057,0.057,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,5,1,RE,2019,2019-05-10,NA,NA,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,7.75,0,15.934,15.934,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,5,1,RE,2019,2019-09-17,NA,NA,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,5,0,13.83,13.83,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,5,1,RE,2019,2019-09-17,NA,NA,CHLA10,Chamaesyce,lata,Euphorbiaceae,perennial,C4,forb,0.25,1,0.403,0.403,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,5,1,RE,2019,2019-05-10,NA,NA,CHER2,Chaetopappa,ericoides,Asteraceae,perennial,C3,forb,5.77,58.08,14.9443,14.9443,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,5,1,RE,2019,2019-05-10,NA,NA,CHLA10,Chamaesyce,lata,Euphorbiaceae,perennial,C4,forb,1.53,4.55,2.25981,2.25981,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,5,2,RE,2019,2019-09-17,NA,NA,HODR,Hoffmannseggia,drepanocarpa,Fabaceae,perennial,C3,forb,0.25,1.75,0.285,0.285,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,5,2,RE,2019,2019-09-17,NA,NA,CHLA10,Chamaesyce,lata,Euphorbiaceae,perennial,C4,forb,0.1,0.6,0.1612,0.1612,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,5,2,RE,2019,2019-05-10,NA,NA,CHLA10,Chamaesyce,lata,Euphorbiaceae,perennial,C4,forb,1.1,4.05,1.6247,1.6247,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,5,2,RE,2019,2019-05-10,NA,NA,LEFE,Lesquerella,fendleri,Brassicaceae,perennial,C3,forb,0.11,0.21,0.34815,0.34815,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,5,2,RE,2019,2019-09-17,NA,NA,CHER2,Chaetopappa,ericoides,Asteraceae,perennial,C3,forb,13.05,126.5,28.2095,28.2095,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,5,1,RE,2019,2019-09-17,NA,NA,SATR12,Salsola,tragus,Chenopodiaceae,annual,C4,forb,0.2,1.2,0.8066,0.8066,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,5,1,RE,2019,2019-05-10,NA,NA,LEFE,Lesquerella,fendleri,Brassicaceae,perennial,C3,forb,3.5,59.5,11.0775,11.0775,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,6,1,RE,2019,2019-05-10,NA,NA,MUAR2,Muhlenbergia,arenicola,Poaceae,perennial,C4,grass,1,0,1.102761,1.869,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,6,2,RE,2019,2019-09-17,NA,NA,CHER2,Chaetopappa,ericoides,Asteraceae,perennial,C3,forb,10.05,88.2,19.6686,19.6686,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,6,2,RE,2019,2019-09-17,NA,NA,GUSA2,Gutierrezia,sarothrae,Asteraceae,perennial,C3,shrub,6,174,41.934,41.934,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,6,1,RE,2019,2019-05-10,NA,NA,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,16,0,32.896,32.896,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,6,1,RE,2019,2019-09-17,NA,NA,MUAR2,Muhlenbergia,arenicola,Poaceae,perennial,C4,grass,1.25,11.25,5.138300238,3.69125,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,6,1,RE,2019,2019-05-10,NA,NA,CRCR3,Cryptantha,crassisepala,Boraginaceae,annual,C3,forb,0.05,0.25,0.2057,0.2057,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,6,1,RE,2019,2019-05-10,NA,NA,LEFE,Lesquerella,fendleri,Brassicaceae,perennial,C3,forb,4.9,85,15.5085,15.5085,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,6,1,RE,2019,2019-05-10,NA,NA,CHLA10,Chamaesyce,lata,Euphorbiaceae,perennial,C4,forb,2.46,16.91,3.63342,3.63342,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,6,1,RE,2019,2019-09-17,NA,NA,CHLA10,Chamaesyce,lata,Euphorbiaceae,perennial,C4,forb,0.56,4.81,0.90272,0.90272,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,6,1,RE,2019,2019-05-10,NA,NA,HODR,Hoffmannseggia,drepanocarpa,Fabaceae,perennial,C3,forb,0.75,3,0.855,0.855,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,6,1,RE,2019,2019-05-10,NA,NA,PLPA2,Plantago,patagonica,Plantaginaceae,annual,C3,forb,0.3,2.05,0.2747,0.2747,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,6,2,RE,2019,2019-05-10,NA,NA,GUSA2,Gutierrezia,sarothrae,Asteraceae,perennial,C3,shrub,4.5,121.5,34.011,34.011,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,6,1,RE,2019,2019-05-10,NA,NA,ASFE2,Astragalus,missouriensis,Fabaceae,perennial,C3,forb,0.01,0.02,0.02035,0.02035,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,6,1,RE,2019,2019-09-17,NA,NA,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,33.5,0,92.661,92.661,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,6,2,RE,2019,2019-09-17,NA,NA,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,23,0,63.618,63.618,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,6,2,RE,2019,2019-05-10,NA,NA,CHER2,Chaetopappa,ericoides,Asteraceae,perennial,C3,forb,10.49,87.68,27.1691,27.1691,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,6,1,RE,2019,2019-09-17,NA,NA,LEFE,Lesquerella,fendleri,Brassicaceae,perennial,C3,forb,3.85,56.15,16.17385,16.17385,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,6,2,RE,2019,2019-05-10,NA,NA,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,9,0,18.504,18.504,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,6,2,RE,2019,2019-05-10,NA,NA,LEFE,Lesquerella,fendleri,Brassicaceae,perennial,C3,forb,0.25,2.75,0.79125,0.79125,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,6,1,RE,2019,2019-09-17,NA,NA,HODR,Hoffmannseggia,drepanocarpa,Fabaceae,perennial,C3,forb,0.6,2.8,0.684,0.684,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,2,10,1,AE,2019,2019-05-10,NA,NA,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,12.6,0,25.9056,25.9056,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,2,10,2,AE,2019,2019-05-10,NA,NA,SATR12,Salsola,tragus,Chenopodiaceae,annual,C4,forb,0.05,0.2,0.20165,0.20165,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,2,10,2,AE,2019,2019-05-10,NA,NA,CHLA10,Chamaesyce,lata,Euphorbiaceae,perennial,C4,forb,7.68,31.16,11.34336,11.34336,FivePoints,49,68.61702128,1433.471,0.869776681
