TP_ID,Add_Year,Plot,Species,Germ_date,Last_Obs,Death_date,Surv_days,Status
201914BLACKSW1H,2019,14,BLACK,2019-09-21,2019-10-27,2019-11-03,43,1
201918BLACKSW1J,2019,18,BLACK,2019-09-21,2019-10-27,2019-11-03,43,1
201918BLACKSW1A,2019,18,BLACK,2019-09-21,2019-10-27,2019-11-03,43,1
201924BLACKSW1A,2019,24,BLACK,2019-09-21,2019-10-27,2019-11-03,43,1
201911BLACKSW1B,2019,11,BLACK,2020-07-31,2020-10-10,2020-10-17,78,1
201914BLACKSW1B,2019,14,BLACK,2019-09-21,2019-10-27,2019-11-03,43,1
201924BLACKSW1B,2019,24,BLACK,2019-09-21,2019-10-27,2019-11-03,43,1
201914BLACKSW1C,2019,14,BLACK,2019-09-21,2019-10-27,2019-11-03,43,1
201920BLACKSW1C,2019,20,BLACK,2019-09-21,2019-10-27,2019-11-03,43,1
20197BLACKNE1F,2019,7,BLACK,2020-07-31,2020-10-10,2020-10-17,78,1
201925BLACKSW2F,2019,25,BLACK,2019-09-21,2019-10-27,2019-11-03,43,1
20194BLACKSW2H,2019,4,BLACK,2020-07-31,2020-10-10,2020-10-17,78,1
201918BLACKSW2I,2019,18,BLACK,2019-09-21,2019-10-27,2019-11-03,43,1
201923BLACKNE1J,2019,23,BLACK,2020-07-31,2020-10-10,2020-10-17,78,1
201926BLACKNE1J,2019,26,BLACK,2020-07-31,2020-10-10,2020-10-17,78,1
201914BLACKSW2J,2019,14,BLACK,2019-09-21,2019-10-27,2019-11-03,43,1
20193BLACKSW3H,2019,3,BLACK,2019-09-21,2019-10-27,2019-11-03,43,1
201914BLACKSW3I,2019,14,BLACK,2019-09-21,2019-10-27,2019-11-03,43,1
201914BLACKSW3J,2019,14,BLACK,2019-09-21,2019-10-27,2019-11-03,43,1
201918BLACKSW2B,2019,18,BLACK,2019-09-21,2019-10-27,2019-11-03,43,1
201918BLACKSW3G,2019,18,BLACK,2019-09-21,2019-10-27,2019-11-03,43,1
201924BLACKSW2D,2019,24,BLACK,2019-09-21,2019-10-27,2019-11-03,43,1
20194BLACKSW3C,2019,4,BLACK,2020-07-31,2020-10-10,2020-10-17,78,1
201920BLACKSW4A,2019,20,BLACK,2020-07-31,2020-10-10,2020-10-17,78,1
201918BLACKSW4E,2019,18,BLACK,2020-07-31,2020-10-10,2020-10-17,78,1
201921BLACKSW4E,2019,21,BLACK,2020-07-31,2020-10-10,2020-10-17,78,1
201913BLACKSW4G,2019,13,BLACK,2020-07-31,2020-10-10,2020-10-17,78,1
201920BLACKSW4H,2019,20,BLACK,2020-07-31,2020-10-10,2020-10-17,78,1
20197BLACKSW4I,2019,7,BLACK,2020-07-31,2020-10-10,2020-10-17,78,1
201916BLACKSW4I,2019,16,BLACK,2020-08-13,2020-11-01,2020-11-08,87,1
20197BLACKSW4J,2019,7,BLACK,2020-07-31,2020-10-10,2020-10-17,78,1
201913BLACKSW4J,2019,13,BLACK,2020-07-31,2020-10-10,2020-10-17,78,1
201924BLACKSW5C,2019,24,BLACK,2020-07-31,2020-10-10,2020-10-17,78,1
20197BLACKNE5G,2019,7,BLACK,2020-07-31,2020-10-10,2020-10-17,78,1
20197BLACKSW5G,2019,7,BLACK,2020-07-31,2020-10-10,2020-10-17,78,1
201919BLACKSW5H,2019,19,BLACK,2020-08-13,2020-11-01,2020-11-08,87,1
201928BLACKSW5H,2019,28,BLACK,2020-07-31,2020-10-10,2020-10-17,78,1
20194BLACKSW5I,2019,4,BLACK,2020-07-31,2020-10-10,2020-10-17,78,1
201918BLACKSW1H,2019,18,BLACK,2019-09-28,2019-10-27,2019-11-03,36,1
20197BLACKSW1B,2019,7,BLACK,2020-07-31,2020-09-26,2020-10-03,64,1
201920BLACKSW2H,2019,20,BLACK,2019-09-21,2019-10-22,2019-10-29,38,1
201926BLACKNE2J,2019,26,BLACK,2020-08-13,2020-10-10,2020-10-17,65,1
201911BLACKSW4A,2019,11,BLACK,2020-07-31,2020-09-26,2020-10-03,64,1
201917BLACKSW4D,2019,17,BLACK,2020-07-31,2020-09-26,2020-10-03,64,1
201913BLACKSW4H,2019,13,BLACK,2020-08-13,2020-10-10,2020-10-17,65,1
201913BLACKNE4J,2019,13,BLACK,2020-08-13,2020-10-10,2020-10-17,65,1
20197BLACKSW5J,2019,7,BLACK,2020-07-31,2020-09-26,2020-10-03,64,1
201913BLACKNE2C,2019,13,BLACK,2020-07-31,2020-09-12,2020-09-19,50,1
201910BLACKSW2H,2019,10,BLACK,2019-09-21,2019-10-13,2019-10-20,29,1
201919BLACKSW3A,2019,19,BLACK,2020-09-12,2020-11-01,2020-11-08,57,1
201919BLACKSW4A,2019,19,BLACK,2020-09-12,2020-11-01,2020-11-08,57,1
201913BLACKNE5D,2019,13,BLACK,2020-08-13,2020-09-26,2020-10-03,51,1
201915BLACKSW5I,2019,15,BLACK,2020-07-31,2020-09-12,2020-09-19,50,1
201926BLACKSW1I,2019,26,BLACK,2020-08-13,2020-09-12,2020-09-19,37,1
201918BLACKSW1D,2019,18,BLACK,2019-09-21,2019-10-06,2019-10-13,22,1
201925BLACKSW1D,2019,25,BLACK,2019-09-28,2019-10-13,2019-10-20,22,1
201926BLACKSW1E,2019,26,BLACK,2020-07-31,2020-08-30,2020-09-06,37,1
20194BLACKSW2G,2019,4,BLACK,2020-07-31,2020-08-30,2020-09-06,37,1
20198BLACKSW2J,2019,8,BLACK,2019-09-21,2019-10-06,2019-10-13,22,1
201925BLACKSW2E,2019,25,BLACK,2019-09-21,2019-10-06,2019-10-13,22,1
201930BLACKNE2G,2019,30,BLACK,2020-07-31,2020-08-30,2020-09-06,37,1
201926BLACKSW4J,2019,26,BLACK,2020-07-31,2020-08-30,2020-09-06,37,1
201918BLACKSW5E,2019,18,BLACK,2020-07-31,2020-08-30,2020-09-06,37,1
20193BLACKSW5F,2019,3,BLACK,2020-07-31,2020-08-30,2020-09-06,37,1
20196BLACKSW5F,2019,6,BLACK,2020-07-31,2020-08-30,2020-09-06,37,1
201919BLACKNE5G,2019,19,BLACK,2020-09-26,2020-11-01,2020-11-08,43,1
20196BLACKSW5G,2019,6,BLACK,2020-07-31,2020-08-30,2020-09-06,37,1
20195BLACKNE1A,2019,5,BLACK,2020-07-31,2020-08-13,2020-08-20,20,1
20196BLACKNE1C,2019,6,BLACK,2020-07-31,2020-08-13,2020-08-20,20,1
201918BLACKSW1G,2019,18,BLACK,2019-09-21,2019-09-28,2019-10-05,14,1
201916BLACKSW1H,2019,16,BLACK,2021-08-08,2022-10-12,2022-10-19,437,1
201924BLACKSW1H,2019,24,BLACK,2019-09-21,2019-09-28,2019-10-05,14,1
201910BLACKSW1A,2019,10,BLACK,2019-09-21,2019-09-28,2019-10-05,14,1
20198BLACKSW2F,2019,8,BLACK,2019-09-21,2019-09-28,2019-10-05,14,1
20197BLACKNE1G,2019,7,BLACK,2020-07-31,2020-08-13,2020-08-20,20,1
201925BLACKSW2G,2019,25,BLACK,2019-09-21,2019-09-28,2019-10-05,14,1
201929BLACKSW2H,2019,29,BLACK,2019-09-21,2019-09-28,2019-10-05,14,1
20192BLACKSW2I,2019,2,BLACK,2020-07-31,2020-08-13,2020-08-20,20,1
201910BLACKSW2I,2019,10,BLACK,2019-09-21,2019-09-28,2019-10-05,14,1
20198BLACKSW3J,2019,8,BLACK,2019-09-21,2019-09-28,2019-10-05,14,1
201918BLACKSW3J,2019,18,BLACK,2019-09-21,2019-09-28,2019-10-05,14,1
201924BLACKSW3J,2019,24,BLACK,2019-09-21,2019-09-28,2019-10-05,14,1
201929BLACKSW2B,2019,29,BLACK,2019-09-21,2019-09-28,2019-10-05,14,1
201929BLACKSW2D,2019,29,BLACK,2019-09-21,2019-09-28,2019-10-05,14,1
201929BLACKSW3G,2019,29,BLACK,2019-09-21,2019-09-28,2019-10-05,14,1
20199BLACKSW2E,2019,9,BLACK,2020-07-31,2020-08-13,2020-08-20,20,1
201911BLACKNE2H,2019,11,BLACK,2020-07-31,2020-08-13,2020-08-20,20,1
201912BLACKNE2I,2019,12,BLACK,2020-07-31,2020-08-13,2020-08-20,20,1
20199BLACKSW4A,2019,9,BLACK,2020-07-31,2020-08-13,2020-08-20,20,1
20196BLACKSW4H,2019,6,BLACK,2020-07-31,2020-08-13,2020-08-20,20,1
20196BLACKSW4I,2019,6,BLACK,2020-07-31,2020-08-13,2020-08-20,20,1
20192BLACKSW5A,2019,2,BLACK,2020-07-31,2020-08-13,2020-08-20,20,1
201918BLACKSW5A,2019,18,BLACK,2020-07-31,2020-08-13,2020-08-20,20,1
20196BLACKSW5C,2019,6,BLACK,2020-07-31,2020-08-13,2020-08-20,20,1
20194BLACKSW5E,2019,4,BLACK,2020-07-31,2020-08-13,2020-08-20,20,1
201926BLACKSW5F,2019,26,BLACK,2020-07-31,2020-08-13,2020-08-20,20,1
201912BLACKSW5G,2019,12,BLACK,2020-07-31,2020-08-13,2020-08-20,20,1
201913BLACKSW5J,2019,13,BLACK,2020-07-31,2020-08-13,2020-08-20,20,1
201924BLACKSW5J,2019,24,BLACK,2020-07-31,2020-08-13,2020-08-20,20,1
201930BLACKSW5J,2019,30,BLACK,2020-07-31,2020-08-13,2020-08-20,20,1
20193BLACKNE1A,2019,3,BLACK,2020-07-31,2020-07-31,2020-08-07,7,1
201914BLACKNE1A,2019,14,BLACK,2020-08-13,2020-08-13,2020-08-20,7,1
201914BLACKNE1B,2019,14,BLACK,2020-08-13,2020-08-13,2020-08-20,7,1
201916BLACKNE1B,2019,16,BLACK,2020-08-13,2020-08-13,2020-08-20,7,1
201921BLACKNE1D,2019,21,BLACK,2019-09-21,2019-09-21,2019-09-28,7,1
20193BLACKNE1E,2019,3,BLACK,2020-07-31,2020-07-31,2020-08-07,7,1
20199BLACKNE1E,2019,9,BLACK,2020-08-13,2020-08-13,2020-08-20,7,1
201926BLACKNE1E,2019,26,BLACK,2020-09-12,2020-09-12,2020-09-19,7,1
201920BLACKSW1H,2019,20,BLACK,2019-09-21,2019-09-21,2019-09-28,7,1
20198BLACKSW1J,2019,8,BLACK,2019-09-21,2019-09-21,2019-09-28,7,1
201914BLACKSW1A,2019,14,BLACK,2019-09-21,2019-09-21,2019-09-28,7,1
201926BLACKSW1B,2019,26,BLACK,2020-08-13,2020-08-13,2020-08-20,7,1
201929BLACKSW1C,2019,29,BLACK,2019-09-21,2019-09-21,2019-09-28,7,1
201929BLACKSW1E,2019,29,BLACK,2019-09-21,2019-09-21,2019-09-28,7,1
20192BLACKNE2E,2019,2,BLACK,2020-07-31,2020-07-31,2020-08-07,7,1
201913BLACKNE2E,2019,13,BLACK,2020-07-31,2020-07-31,2020-08-07,7,1
201918BLACKSW2F,2019,18,BLACK,2019-09-21,2019-09-21,2019-09-28,7,1
201930BLACKSW2F,2019,30,BLACK,2019-09-21,2019-09-21,2019-09-28,7,1
20193BLACKNE1G,2019,3,BLACK,2020-07-31,2020-07-31,2020-08-07,7,1
201926BLACKNE1G,2019,26,BLACK,2020-07-31,2020-07-31,2020-08-07,7,1
201921BLACKNE1H,2019,21,BLACK,2019-09-21,2019-09-21,2019-09-28,7,1
20193BLACKSW2H,2019,3,BLACK,2019-09-21,2019-09-21,2019-09-28,7,1
201924BLACKSW2H,2019,24,BLACK,2019-09-21,2019-09-21,2019-09-28,7,1
201923BLACKNE1I,2019,23,BLACK,2020-07-31,2020-07-31,2020-08-07,7,1
201927BLACKSW2I,2019,27,BLACK,2019-09-21,2019-09-21,2019-09-28,7,1
201917BLACKNE1J,2019,17,BLACK,2020-07-31,2020-07-31,2020-08-07,7,1
201922BLACKSW2J,2019,22,BLACK,2019-09-21,2019-09-21,2019-09-28,7,1
201910BLACKSW3I,2019,10,BLACK,2019-09-21,2019-09-21,2019-09-28,7,1
201914BLACKSW3F,2019,14,BLACK,2019-09-21,2019-09-21,2019-09-28,7,1
201920BLACKSW3H,2019,20,BLACK,2019-09-21,2019-09-21,2019-09-28,7,1
201923BLACKNE2J,2019,23,BLACK,2019-09-21,2019-09-21,2019-09-28,7,1
20197BLACKNE3B,2019,7,BLACK,2020-07-31,2020-07-31,2020-08-07,7,1
20193BLACKSW2D,2019,3,BLACK,2020-07-31,2020-07-31,2020-08-07,7,1
20192BLACKNE2F,2019,2,BLACK,2020-07-31,2020-07-31,2020-08-07,7,1
20193BLACKNE2G,2019,3,BLACK,2020-07-31,2020-07-31,2020-08-07,7,1
20195BLACKNE2I,2019,5,BLACK,2020-07-31,2020-07-31,2020-08-07,7,1
201921BLACKNE2I,2019,21,BLACK,2020-07-31,2020-07-31,2020-08-07,7,1
20193BLACKSW3C,2019,3,BLACK,2020-07-31,2020-07-31,2020-08-07,7,1
20196BLACKSW3C,2019,6,BLACK,2020-08-13,2020-08-13,2020-08-20,7,1
201926BLACKSW3E,2019,26,BLACK,2020-08-13,2020-08-13,2020-08-20,7,1
201915BLACKSW4C,2019,15,BLACK,2020-08-13,2020-08-13,2020-08-20,7,1
201918BLACKSW4C,2019,18,BLACK,2020-07-31,2020-07-31,2020-08-07,7,1
201913BLACKNE4E,2019,13,BLACK,2020-08-30,2020-08-30,2020-09-06,7,1
20197BLACKSW4F,2019,7,BLACK,2020-07-31,2020-07-31,2020-08-07,7,1
201921BLACKNENANA,2019,21,BLACK,2022-10-12,2022-10-12,2022-10-19,7,1
20191BLACKSW5A,2019,1,BLACK,2020-07-31,2020-07-31,2020-08-07,7,1
20193BLACKSW5A,2019,3,BLACK,2020-07-31,2020-07-31,2020-08-07,7,1
201924BLACKSW5B,2019,24,BLACK,2020-08-13,2020-08-13,2020-08-20,7,1
201930BLACKSW5E,2019,30,BLACK,2020-07-31,2020-07-31,2020-08-07,7,1
201916BLACKNE5F,2019,16,BLACK,2020-08-13,2020-08-13,2020-08-20,7,1
201919BLACKNE5F,2019,19,BLACK,2020-09-12,2020-09-12,2020-09-19,7,1
20196BLACKSW5H,2019,6,BLACK,2020-07-31,2020-07-31,2020-08-07,7,1
20198BLUESW2H,2019,8,BLUE,2020-07-31,2022-10-12,2022-10-19,810,1
201917BLUESW5G,2019,17,BLUE,2020-07-31,2021-04-24,2021-05-01,274,1
201917BLUESW2H,2019,17,BLUE,2020-08-30,2022-10-12,2022-10-19,780,1
201917BLUESW4B,2019,17,BLUE,2020-07-31,2021-03-08,2021-03-15,227,1
201917BLUESW4G,2019,17,BLUE,2020-07-31,2021-03-08,2021-03-15,227,1
201917BLUESW4H,2019,17,BLUE,2020-07-31,2021-03-08,2021-03-15,227,1
201917BLUESW4I,2019,17,BLUE,2020-07-31,2021-03-08,2021-03-15,227,1
201917BLUESW5E,2019,17,BLUE,2020-07-31,2021-03-08,2021-03-15,227,1
20194BLUESW5G,2019,4,BLUE,2020-07-31,2021-03-08,2021-03-15,227,1
20198BLUESW3F,2019,8,BLUE,2019-09-21,2020-05-05,2020-05-12,234,1
201921BLUESW3A,2019,21,BLUE,2020-07-31,2020-12-08,2020-12-15,137,1
20197BLUESW5C,2019,7,BLUE,2020-07-31,2020-12-08,2020-12-15,137,1
20197BLUENE1A,2019,7,BLUE,2020-07-31,2020-10-10,2020-10-17,78,1
201914BLUENE1B,2019,14,BLUE,2019-09-21,2019-10-27,2019-11-03,43,1
201914BLUENE1C,2019,14,BLUE,2019-09-21,2019-10-27,2019-11-03,43,1
201914BLUESW1F,2019,14,BLUE,2019-09-21,2019-10-27,2019-11-03,43,1
201918BLUESW1F,2019,18,BLUE,2019-09-21,2019-10-27,2019-11-03,43,1
201920BLUESW1F,2019,20,BLUE,2019-09-21,2019-10-27,2019-11-03,43,1
20198BLUESW1G,2019,8,BLUE,2019-09-21,2019-10-27,2019-11-03,43,1
201918BLUESW1G,2019,18,BLUE,2019-09-21,2019-10-27,2019-11-03,43,1
201910BLUESW1H,2019,10,BLUE,2019-09-21,2019-10-27,2019-11-03,43,1
201914BLUESW1H,2019,14,BLUE,2019-09-21,2019-10-27,2019-11-03,43,1
201918BLUESW1A,2019,18,BLUE,2019-09-21,2019-10-27,2019-11-03,43,1
201924BLUESW1A,2019,24,BLUE,2019-09-21,2019-10-27,2019-11-03,43,1
201930BLUESW1A,2019,30,BLUE,2019-09-21,2019-10-27,2019-11-03,43,1
201930BLUESW1C,2019,30,BLUE,2019-09-21,2019-10-27,2019-11-03,43,1
201914BLUESW1E,2019,14,BLUE,2019-09-21,2019-10-27,2019-11-03,43,1
201920BLUESW1E,2019,20,BLUE,2019-09-21,2019-10-27,2019-11-03,43,1
201924BLUESW1E,2019,24,BLUE,2019-09-21,2019-10-27,2019-11-03,43,1
201918BLUESW2F,2019,18,BLUE,2019-09-21,2019-10-27,2019-11-03,43,1
20194BLUESW2G,2019,4,BLUE,2020-07-31,2020-10-10,2020-10-17,78,1
201923BLUESW2H,2019,23,BLUE,2020-07-31,2020-10-10,2020-10-17,78,1
20195BLUESW3G,2019,5,BLUE,2019-09-21,2019-10-27,2019-11-03,43,1
201910BLUESW3H,2019,10,BLUE,2019-09-21,2019-10-27,2019-11-03,43,1
201910BLUESW3I,2019,10,BLUE,2019-09-21,2019-10-27,2019-11-03,43,1
201914BLUENE2I,2019,14,BLUE,2019-09-21,2019-10-27,2019-11-03,43,1
201914BLUENE3B,2019,14,BLUE,2019-09-21,2019-10-27,2019-11-03,43,1
201914BLUENE3D,2019,14,BLUE,2019-09-21,2019-10-27,2019-11-03,43,1
201914BLUENE3E,2019,14,BLUE,2019-09-21,2019-10-27,2019-11-03,43,1
201914BLUESW3G,2019,14,BLUE,2019-09-21,2019-10-27,2019-11-03,43,1
201924BLUESW3F,2019,24,BLUE,2019-09-21,2019-10-27,2019-11-03,43,1
20192BLUESW5A,2019,2,BLUE,2020-07-31,2020-10-10,2020-10-17,78,1
20197BLUESW5F,2019,7,BLUE,2020-07-31,2020-10-10,2020-10-17,78,1
20197BLUESW5G,2019,7,BLUE,2020-07-31,2020-10-10,2020-10-17,78,1
201919BLUESW1F,2019,19,BLUE,2020-07-31,2020-09-26,2020-10-03,64,1
20195BLUESW1B,2019,5,BLUE,2019-09-21,2019-10-22,2019-10-29,38,1
201930BLUESW2H,2019,30,BLUE,2019-09-21,2019-10-22,2019-10-29,38,1
201917BLUENE1I,2019,17,BLUE,2020-07-31,2020-09-26,2020-10-03,64,1
20198BLUESW3J,2019,8,BLUE,2019-09-21,2019-10-22,2019-10-29,38,1
201917BLUENE1A,2019,17,BLUE,2020-08-30,2020-10-10,2020-10-17,48,1
201923BLUESW1H,2019,23,BLUE,2020-07-31,2020-09-12,2020-09-19,50,1
201930BLUESW1H,2019,30,BLUE,2019-09-21,2019-10-13,2019-10-20,29,1
201930BLUESW1I,2019,30,BLUE,2019-09-21,2019-10-13,2019-10-20,29,1
201924BLUESW1J,2019,24,BLUE,2019-09-21,2019-10-13,2019-10-20,29,1
201930BLUESW1J,2019,30,BLUE,2019-09-21,2019-10-13,2019-10-20,29,1
201930BLUESW1B,2019,30,BLUE,2019-09-21,2019-10-13,2019-10-20,29,1
201910BLUESW1E,2019,10,BLUE,2019-09-21,2019-10-13,2019-10-20,29,1
20194BLUESW2I,2019,4,BLUE,2020-07-31,2020-09-12,2020-09-19,50,1
201926BLUESW2J,2019,26,BLUE,2020-07-31,2020-09-12,2020-09-19,50,1
20198BLUESW3I,2019,8,BLUE,2019-09-21,2019-10-13,2019-10-20,29,1
20199BLUESW3F,2019,9,BLUE,2019-09-21,2019-10-13,2019-10-20,29,1
201920BLUESW3J,2019,20,BLUE,2019-09-21,2019-10-13,2019-10-20,29,1
20197BLUESW4E,2019,7,BLUE,2020-07-31,2020-09-12,2020-09-19,50,1
20194BLUESW5J,2019,4,BLUE,2020-07-31,2020-09-12,2020-09-19,50,1
201919BLUESW5J,2019,19,BLUE,2020-09-12,2020-11-01,2020-11-08,57,1
201918BLUESW1B,2019,18,BLUE,2019-09-28,2019-10-13,2019-10-20,22,1
201910BLUESW2H,2019,10,BLUE,2019-09-21,2019-10-06,2019-10-13,22,1
201917BLUENE1J,2019,17,BLUE,2020-07-31,2020-08-30,2020-09-06,37,1
201926BLUENE1J,2019,26,BLUE,2020-07-31,2020-08-30,2020-09-06,37,1
201914BLUESW3H,2019,14,BLUE,2019-09-21,2019-10-06,2019-10-13,22,1
20197BLUENE4A,2019,7,BLUE,2020-07-31,2020-08-30,2020-09-06,37,1
20192BLUESW4A,2019,2,BLUE,2020-07-31,2020-08-30,2020-09-06,37,1
20194BLUESW4F,2019,4,BLUE,2020-07-31,2020-08-30,2020-09-06,37,1
201926BLUESW5J,2019,26,BLUE,2020-07-31,2020-08-30,2020-09-06,37,1
20193BLUENE1B,2019,3,BLUE,2020-07-31,2020-08-13,2020-08-20,20,1
20197BLUENE1C,2019,7,BLUE,2020-07-31,2020-08-13,2020-08-20,20,1
20192BLUENE1D,2019,2,BLUE,2020-07-31,2020-08-13,2020-08-20,20,1
201917BLUENE1D,2019,17,BLUE,2020-07-31,2020-08-13,2020-08-20,20,1
201930BLUESW1G,2019,30,BLUE,2019-09-21,2019-09-28,2019-10-05,14,1
20194BLUESW1H,2019,4,BLUE,2020-07-31,2020-08-13,2020-08-20,20,1
201912BLUESW1H,2019,12,BLUE,2019-09-21,2019-09-28,2019-10-05,14,1
20193BLUESW1J,2019,3,BLUE,2019-09-21,2019-09-28,2019-10-05,14,1
201910BLUESW1J,2019,10,BLUE,2019-09-21,2019-09-28,2019-10-05,14,1
201910BLUESW1B,2019,10,BLUE,2019-09-21,2019-09-28,2019-10-05,14,1
201910BLUESW1C,2019,10,BLUE,2019-09-21,2019-09-28,2019-10-05,14,1
20198BLUESW1E,2019,8,BLUE,2019-09-21,2019-09-28,2019-10-05,14,1
201913BLUENE1G,2019,13,BLUE,2020-08-30,2020-09-12,2020-09-19,20,1
201930BLUESW2G,2019,30,BLUE,2019-09-21,2019-09-28,2019-10-05,14,1
201914BLUESW2I,2019,14,BLUE,2019-09-21,2019-09-28,2019-10-05,14,1
201926BLUESW2I,2019,26,BLUE,2020-07-31,2020-08-13,2020-08-20,20,1
20194BLUENE1J,2019,4,BLUE,2020-07-31,2020-08-13,2020-08-20,20,1
201914BLUESW2J,2019,14,BLUE,2019-09-21,2019-09-28,2019-10-05,14,1
20195BLUENE3E,2019,5,BLUE,2019-09-21,2019-09-28,2019-10-05,14,1
20195BLUESW2A,2019,5,BLUE,2019-09-21,2019-09-28,2019-10-05,14,1
201910BLUESW2B,2019,10,BLUE,2019-09-21,2019-09-28,2019-10-05,14,1
201912BLUESW2A,2019,12,BLUE,2019-09-21,2019-09-28,2019-10-05,14,1
201913BLUESW3H,2019,13,BLUE,2019-10-22,2019-10-27,2019-11-03,12,1
201926BLUESW3I,2019,26,BLUE,2020-07-31,2020-08-13,2020-08-20,20,1
201917BLUENE2J,2019,17,BLUE,2020-07-31,2020-08-13,2020-08-20,20,1
201926BLUESW3A,2019,26,BLUE,2020-08-13,2020-08-30,2020-09-06,24,1
20197BLUENE3F,2019,7,BLUE,2020-07-31,2020-08-13,2020-08-20,20,1
201917BLUESW4F,2019,17,BLUE,2020-07-31,2020-08-13,2020-08-20,20,1
201928BLUESW5G,2019,28,BLUE,2020-08-13,2020-08-30,2020-09-06,24,1
201923BLUENE1B,2019,23,BLUE,2020-07-31,2020-07-31,2020-08-07,7,1
201917BLUENE1E,2019,17,BLUE,2020-07-31,2020-07-31,2020-08-07,7,1
201910BLUESW1F,2019,10,BLUE,2019-09-21,2019-09-21,2019-09-28,7,1
201922BLUESW1H,2019,22,BLUE,2019-09-21,2019-09-21,2019-09-28,7,1
201914BLUESW1A,2019,14,BLUE,2019-09-21,2019-09-21,2019-09-28,7,1
201919BLUESW1A,2019,19,BLUE,2020-09-12,2020-09-12,2020-09-19,7,1
201914BLUESW1B,2019,14,BLUE,2019-09-21,2019-09-21,2019-09-28,7,1
201917BLUESW1B,2019,17,BLUE,2020-07-31,2020-07-31,2020-08-07,7,1
201914BLUESW1C,2019,14,BLUE,2019-09-21,2019-09-21,2019-09-28,7,1
201917BLUESW1C,2019,17,BLUE,2020-07-31,2020-07-31,2020-08-07,7,1
201928BLUESW1C,2019,28,BLUE,2020-08-30,2020-08-30,2020-09-06,7,1
201914BLUESW1D,2019,14,BLUE,2019-09-21,2019-09-21,2019-09-28,7,1
20193BLUENE2D,2019,3,BLUE,2020-07-31,2020-07-31,2020-08-07,7,1
201930BLUENE2D,2019,30,BLUE,2020-07-31,2020-07-31,2020-08-07,7,1
201910BLUESW2F,2019,10,BLUE,2019-09-21,2019-09-21,2019-09-28,7,1
201914BLUESW2F,2019,14,BLUE,2019-09-21,2019-09-21,2019-09-28,7,1
20193BLUENE1G,2019,3,BLUE,2020-07-31,2020-07-31,2020-08-07,7,1
201914BLUESW2G,2019,14,BLUE,2019-09-21,2019-09-21,2019-09-28,7,1
201920BLUESW2G,2019,20,BLUE,2019-09-21,2019-09-21,2019-09-28,7,1
201924BLUESW2G,2019,24,BLUE,2019-09-21,2019-09-21,2019-09-28,7,1
20194BLUENE1H,2019,4,BLUE,2020-07-31,2020-07-31,2020-08-07,7,1
